number	name	name_kana	grade_member	grade_platina	grade_premium	address	tel
35500059	ＬＡ　ＣＯＬＬＥＣＴＩＯＮ		○			東京都江戸川区瑞江2-1-2ラパーク瑞江内４Ｆ	03-5243-8295
35200016	LARANJE本通り店			○		広島県広島市中区本通り4-19	082-247-0810
60001230	ＲＯＯ			○		長崎県長崎市万屋町5-32第2一ノ瀬ビル201	095-829-2155
35200017	美容室ラランジェ楽々園店			○		広島県広島市佐伯区楽々園4丁目1-20佐伯ビル	082-923-0557
16000507	HAIR　GARDEN　Raim		○			宮崎県宮崎市恒久市恒久4丁目1-6セゾン城ケ崎1F	0985-64-8031
30001489	ＴＩＰＳＹ		○			大阪府大阪市西区新町1-29-7BRビル5F	06-6534-4100
34100029	Ｋｃｈｉａｒａ		○			福岡県福岡市中央区大名1-12-8セシオ大名5Ｆ	092-737-7013
20001020	ａｔｅｌｉｅｒ　ｅｎｒｕｂａｎｎｅ			○		岡山県岡山市北区幸町3-8丸高ビル1Ｆ	086-234-3535
35500064	SPROUT　HAIR　SERVICE		○			神奈川県川崎市高津区下作延6-6-14	044-281-4057
30001779	K-ｔｗｏあべのＱ’ｓ　ＭＡＬＬ店		○			大阪府大阪市阿倍野区阿倍野筋1-6-1Ｑ’ｓＭＡＬＬ214	06-6633-9800
35500065	ｇ．ｈａｉｒ　ｄｅｓｉｇｎ		○			東京都武蔵野市吉祥寺南町2-7-7	0422-24-6465
35700046	ＲＧＢ　ｇａｒａｇｅ		○			大阪府大阪市福島区福島6-9-15北一ビル1Ｆ	06-4798-7117
11001348	Ｂｉｊｏｕｘ　ｈａｉｒ　ｄｅｓｉｇｎ		○			山口県下関市後田町5-15-13パークビル1Ｆ	083-227-4550
40001386	YOKOTA東急百貨店吉祥寺店		○			武蔵野市吉祥寺本町2-3-1東急百貨店9F	0422-20-5998
40002506	ＭＩＮＸ　ｇｉｎｚａ		○			東京都中央区銀座2-5-4ファサード銀座2Ｆ	03-5159-3838
10003623	Ｗｅｓｔ　Ｓｉｄｅ　Ｃｕｔ　Ｃｌｕｂ		○			福岡市中央区今泉2-3-23ＡＲＴＫ’Ｓ上人橋5Ｆ	092-726-7899
35500068	ｔｅｔｅ　ｃｏｑｕｅｔｔｅ		○			渋谷区神宮前3-20-9-Ｂ1	03-6434-0094
10001356	ジャラン　ジャラン		○			福岡市中央区今川1-1-17	092-752-1016
20001162	ｍｉｌｄ　ｎａｐ		○			香川県高松市松縄町1077-16	087-897-3320
3410015	ｌｏｔｔ　ａｎｎｉｂｉｒｔｈ		○			福岡市中央区天神2-4-11パシフィーク天神7Ｆ	092-724-8025
10003581	ＳＨＡＮＴＩ			○		長崎県五島市吉田町2564-2	0959-72-8131
16000142	ＬＯＦＴ　ｈａｉｒ　ｐｌａｃｅ			○		宮崎県児湯郡高鍋町大字北高鍋１００３－２	0983-22-0298
21000077	Ｓａｌｏｎ　ｄｅ　ｈｅｃ．					岡山県岡山市北区下中野701-104　1Ｆ	086-250-2212
16000287	ヘアクリエイト　ズーム		○			宮崎県都城市年見町11-17	0986-22-7812
34100032	ＦＡＤＡ　ｈａｉｒ		○			福岡県福岡市中央区赤坂2-1-1クラスけやき2Ｆ	092-771-8714
10003205	ｈａｉｒ　ｄｅｓｉｇｎ　ｎｅｗ　ｉｍａｇｅ			○		福岡県福岡市中央区警固1丁目6-56-2Ｆ	092-732-7701
10003365	Ｓｈｅｒｉｅ		○			福岡県福岡市中央区今泉2-4-39ナリタビル4Ｆ	092-731-8935
35200015	Ｔｉｐｓｔｉｃ		○			山口県山口市小郡下郷1215-6	083-976-5554
40000772	Ｏｒｇａｎｉｃ　ｈａｉｒ　ｓａｌｏｎ　ｂｙ　ＥＱ			○		世田谷区玉川2-21-1　102	03-5717-6555
30002631	Ｒｉｃｏｌ		○			奈良県奈良市東登美が丘1-1-7	0742-93-7121
35500069	ＡＡｒｔｉｒｉｏｒ		○			東京都渋谷区神宮前1-15-6-B1Ｆ	03-5772-3211
35200021	Throw　Beauty　LashinVan		○			山口県防府市中央町6-35	0835-26-1522
35400002	ナチュラル　ホワイトハウス		○			和歌山県田辺市上屋敷2-18-39-1F	0739-24-0556
35600010	QUATRE		○			兵庫県神戸市中央区北長狭通3-2-6KBCビル402	078-778-0803
35200022	HAIR　SALON　ｍｅｒｃｉ		○			広島県福山市神辺町890-1	084-966-1577
13001224	ｈａｉｒ　ｓａｌｏｎ　ライラック		○			熊本県熊本市中央区草葉町3-3-2Ｆ	096-359-3993
34500010	美容室マイペース		○			長崎県諫早市福田町20-30	0957-23-7921
35500070	ｒｏｍａ		○			東京都目黒区上目黒1-8-28　ｂ1	03-5459-1595
11000242	美容室オブジェ		○			福岡県京都郡苅田町富久町2-18-16	093-436-5470
35500073	Ｅｌｍｅ		○			東京都港区南青山3-14-4ＹＴＫ南青山Ｂ1Ｆ	03-3401-7870
35000408	ＢＲＩＬＬＩＡＮＴ		○			和歌山県田辺市湊1064-5	0739-24-5210
35500072	ＳＮＩＰＳ　ＤＯＥＳ					新潟県新潟市中央区南万代町1169-9南万代テラスB棟2F	025-288-5255
35500071	SNIPS LIFE　DESIGN		○			新潟県新潟市中央区八千代1丁目3-18	025-241-0617
13002031	Ｒｕｓｈ　ｇｒａｓｓ			○		熊本県熊本市中央区水道町12-30	096-245-7968
34000036	ＨＡＩＲ　ＭＡＫＥ　ｇｌｉｎｔ		○			福岡市東区香椎駅前1丁目18-35　2Ｆ	092-410-5637
34600004	ＨＡＩＲ　ＡＲＴ　Ｃ’ｓ		○			長崎県平戸市築地町557-1	0950-22-2232
10001483	株式会社ユトリロとバロモモ		○			福岡県春日市春日原北町2-5-1ピアレス春日原101	092-575-1966
16000865	ｍａｒｕ		○			宮崎県都城市松元町7-1	0986-21-3320
30002500	FLEVE		○			大阪府大阪市北区曽根崎新地2-3-21ａｘビル5Ｆ	06-6450-8897
65000504	ｈａｉｒ　ｄｅｓｉｇｎ　ＣＡＰＳＵＬＥ		○			佐賀県杵島郡江北町大字惣領分1912-2	0952-86-4477
16000516	Ｈａｉｒ　ｓｐａｃｅ　ｏ－ｇａ		○			宮崎県都城市妻ケ丘町30-4	0986-22-8411
35500076	メロン		○			東京都渋谷区恵比寿4-27-1pagoda s.kビル2F	03-3473-4688
61000404	Ｏｒｇａｎ		○			長崎県佐世保市白南風町30-32	0956-24-4928
